"INDEX", "ENCODER VALUE", "DISTANCE"
1, 939.1930864246846, 1166
2, 944.7061451994216, 3000
3, 948.5072541441089, 1153
4, 952.3083630887961, 1038
5, 956.1675042311119, 997
6, 960.0556614722424, 1007
7, 963.9148026145582, 997
8, 972.0393102825919, 882
9, 975.8404192272792, 828
10, 979.6125120731518, 787
11, 984.139023488199, 796
12, 987.4468587530413, 758
13, 987.562923148299, 732
14, 987.562923148299, 789
15, 989.5650339664929, 506
16, 993.5982717016954, 462
17, 997.5734772392689, 415
18, 1001.4036022827704, 376
19, 1005.2917595239009, 340
20, 1009.3249972591033, 291
21, 1013.2131545002336, 270
22, 1017.0432795437353, 289
23, 1020.8734045872367, 249
24, 1021.976016342184, 3000
25, 1024.3553364449654, 3000
26, 1028.3015258837245, 3000
27, 1031.841489939082, 3000
28, 1034.6850676228937, 3000
29, 1037.847822393664, 3000
30, 1040.1110781011878, 3000
31, 1042.635478698041, 3000
32, 1045.5080724806671, 3000
33, 1048.3806662632935, 3000
34, 1051.5434210340636, 3000
35, 1054.3869987178753, 3000
36, 1056.9113993147287, 3000
37, 1060.3933311724572, 3000
38, 1063.730182536114, 3000
39, 1066.0514704412665, 3000
40, 1068.6919354333772, 3000
41, 1070.810110646829, 3000
42, 1070.9261750420867, 3000
43, 1070.9261750420867, 3000
44, 1072.1448511922915, 3000
45, 1075.4817025559482, 3000
46, 1078.9346183148625, 3000
47, 1082.0973730856329, 3000
48, 1085.8984820303199, 2214
49, 1089.7286070738214, 2184
50, 1093.5297160185087, 2153
51, 1097.3598410620102, 2165
52, 1101.1609500066975, 2031
53, 1104.991075050199, 2109
54, 1108.7631678960718, 2101
55, 1112.5932929395733, 2027
56, 1116.365385785446, 1986
57, 1120.1955108289476, 1966
58, 1120.9209132993078, 1952
59, 1120.9209132993078, 1973
60, 1124.9831671333245, 106
61, 1125.4474247143548, 3000
62, 1128.6391955839395, 3000
63, 1131.2216283784219, 3000
64, 1133.4848840859454, 3000
65, 1135.748139793469, 3000
66, 1137.9823794021781, 3000
67, 1140.2166190108874, 3000
68, 1143.0892127935135, 3000
69, 1145.3814845998518, 3000
70, 1147.615724208561, 3000
71, 1150.4883179911872, 3000
72, 1153.0707507856691, 3000
73, 1155.3630225920074, 3000
74, 1157.568246101902, 3000
75, 1159.8605179082401, 3000
76, 1162.1237736157639, 3000
77, 1164.3870293232874, 3000
78, 1166.9694621177696, 3000
79, 1169.4068144181797, 3000
80, 1171.7281023233322, 3000
81, 1174.3105351178142, 3000
82, 1174.9779053905454, 3000
83, 1174.9779053905454, 3000
84, 1176.2836298371938, 3000
85, 1180.4039158688395, 3000
86, 1184.959443382701, 3000
87, 1188.1512142522856, 3000
88, 1191.2849529242417, 3000
89, 1195.8985126357322, 3000
90, 1199.0612674065023, 3000
91, 1202.9204085488184, 3000
92, 1206.0831633195885, 3000
93, 1210.0003366595333, 3000
94, 1213.1340753314892, 3000
95, 1217.0222325726195, 3000
96, 1220.9103898137498, 3000
97, 1224.07314458452, 3000
98, 1224.9726436477665, 3000
99, 1224.9726436477665, 3000
100, 1226.8296739718885, 3000
101, 1233.010103019357, 3000
102, 1240.031998932443, 1222
103, 1245.6321060036234, 1155
104, 1249.6943598376404, 994
105, 1253.8726780669147, 988
106, 1257.7318192092307, 983
107, 1261.5619442527322, 911
108, 1265.334037098605, 899
109, 1269.9185807112813, 908
110, 1273.8647701500404, 814
111, 1274.9673819049876, 773
112, 1274.9673819049876, 765
113, 1275.7798326717912, 3000
114, 1279.3197967271485, 3000
115, 1284.2525335255975, 3000
116, 1288.8951093359024, 3000
117, 1292.6962182805896, 2165
118, 1296.5263433240912, 2174
119, 1301.8072733083131, 2153
120, 1308.5099921344406, 2079
121, 1312.2820849803134, 1976
122, 1316.170242221444, 2025
123, 1320.0003672649452, 1975
124, 1323.772460110818, 1961
125, 1325.0201523598375, 1993
126, 1325.0201523598375, 1930
